State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
SP,São Paulo-SP,Santana de Parnaíba-SP,Ferraz de Vasconcelos-SP,Carapicuíba-SP,Mauá-SP,Santo André-SP,São Bernardo do Campo-SP,São Caetano do Sul-SP,Guarulhos-SP,Barueri-SP,Campinas-SP,Cotia-SP,Jaguariúna-SP,Osasco-SP,São José do Rio Preto-SP,São José dos Campos-SP,Suzano-SP,Taubaté-SP,Vargem Grande Paulista-SP,Hortolândia-SP,Mogi das Cruzes-SP,Caieiras-SP,Embu das Artes-SP,Iracemápolis-SP,Jundiaí-SP,Poá-SP,Ribeirão Pires-SP,Rio Claro-SP,São Sebastião-SP,Taboão da Serra-SP,Valinhos-SP,Arujá-SP,Louveira-SP,Mairiporã-SP,Ribeirão Preto-SP,Tatuí-SP,Diadema-SP,Sorocaba-SP,Brodowski-SP,Cajamar-SP,Itapevi-SP,Itupeva-SP,Jandira-SP,Paulínia-SP,Penápolis-SP,Piracicaba-SP,Porto Feliz-SP,Santos-SP,São Pedro-SP,Americana-SP,Araçatuba-SP,Bauru-SP,Cachoeira Paulista-SP,Franco da Rocha-SP,Guarujá-SP,Itapecerica da Serra-SP,Itaquaquecetuba-SP,Lençóis Paulista-SP,Matão-SP,Mogi Guaçu-SP,Nova Odessa-SP,Pirajuí-SP,Salto de Pirapora-SP,Santa Isabel-SP,São José do Rio Pardo-SP,São Vicente-SP,Vinhedo-SP,Votorantim-SP,Votuporanga-SP,Indaiatuba-SP,Itanhaém-SP,Limeira-SP,Praia Grande-SP,Agudos-SP,Araraquara-SP,Assis-SP,Dracena-SP,Franca-SP,Francisco Morato-SP,Itararé-SP,Itu-SP,Jaú-SP,Águas de Lindóia-SP,Adamantina-SP,Atibaia-SP,Cravinhos-SP,Jaboticabal-SP,Marília-SP,Promissão-SP,Botucatu-SP,Cedral-SP,Guararapes-SP,Itapira-SP,José Bonifácio-SP,Orlândia-SP,Pariquera-Açu-SP,Santa Branca-SP,São Manuel-SP,Itapetininga-SP,Terra Roxa-SP,Birigui-SP,Boituva-SP,Caraguatatuba-SP,Embu-Guaçu-SP,Ilha Comprida-SP,Mirassol-SP,Presidente Venceslau-SP,Santa Cruz do Rio Pardo-SP,São Carlos-SP,Araras-SP,Barretos-SP,Bebedouro-SP,Bragança Paulista-SP,Catanduva-SP,Ibiúna-SP,Itatiba-SP,Monte Alto-SP,Peruíbe-SP,Pindamonhangaba-SP,Rio Grande da Serra-SP,Salto-SP,Sumaré-SP,São Roque-SP,Avaré-SP,Bady Bassitt-SP,Batatais-SP,Caçapava-SP,Guararema-SP,Jacareí-SP,Jales-SP,Joanópolis-SP,Laranjal Paulista-SP,Mococa-SP,Olímpia-SP,Pindorama-SP,Presidente Prudente-SP,Sertãozinho-SP,Tanabi-SP,Artur Nogueira-SP,Barra do Turvo-SP,Eldorado-SP,Guaratinguetá-SP,Ilhabela-SP,Itapeva-SP,Itatinga-SP,Jaci-SP,São João da Boa Vista-SP,Araçoiaba da Serra-SP,Cubatão-SP,Ourinhos-SP,Pedra Bela-SP,Porto Ferreira-SP,Santa Bárbara d'Oeste-SP,São Miguel Arcanjo-SP,Tupã-SP,Águas de São Pedro-SP,Amparo-SP,Américo Brasiliense-SP,Araçariguama-SP,Caiabu-SP,Estiva Gerbi-SP,Ibirá-SP,Santa Lúcia-SP
RJ,Barra Mansa-RJ,Rio de Janeiro-RJ,Niterói-RJ,Guapimirim-RJ,Miguel Pereira-RJ,Petrópolis-RJ,São Gonçalo-RJ,Campos dos Goytacazes-RJ,Duque de Caxias-RJ,Volta Redonda-RJ,Resende-RJ,Valença-RJ,Belford Roxo-RJ,Itaboraí-RJ,Mangaratiba-RJ,Nova Iguaçu-RJ,Maricá-RJ,Rio das Ostras-RJ,Seropédica-RJ,Angra dos Reis-RJ,Queimados-RJ,Rio Bonito-RJ,São João de Meriti-RJ,Teresópolis-RJ,Macaé-RJ,São Pedro da Aldeia-RJ,Arraial do Cabo-RJ,Itaguaí-RJ,Magé-RJ,Mesquita-RJ,Araruama-RJ,Barra do Piraí-RJ,Iguaba Grande-RJ,Nilópolis-RJ,Porciúncula-RJ,Três Rios-RJ,Nova Friburgo-RJ,Paraíba do Sul-RJ,Itaperuna-RJ,São João da Barra-RJ,Tanguá-RJ,Trajano de Moraes-RJ,Bom Jardim-RJ,Cabo Frio-RJ,Casimiro de Abreu-RJ,Japeri-RJ,Porto Real-RJ,Quatis-RJ,Sapucaia-RJ,Rio das Flores-RJ,Cantagalo-RJ,Paraty-RJ,Paty do Alferes-RJ,Sumidouro-RJ,Bom Jesus do Itabapoana-RJ,Cachoeiras de Macacu-RJ,Itatiaia-RJ,Paracambi-RJ,São Francisco de Itabapoana-RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Feira de Santana-BA,Salvador-BA,Porto Seguro-BA,Prado-BA,Itabuna-BA,Lauro de Freitas-BA,Camaçari-BA,Barreiras-BA,Conceição do Jacuípe-BA,Brumado-BA,Jequié-BA,Juazeiro-BA,Conde-BA,Teixeira de Freitas-BA,Canarana-BA,Ilhéus-BA,São Domingos-BA,Alagoinhas-BA,Ipiaú-BA,Itagibá-BA,Itamaraju-BA,Itororó-BA,Pojuca-BA,Dias d'Ávila-BA,Nova Soure-BA,Barra-BA,Candeias-BA,Catu-BA,Coaraci-BA,Itajuípe-BA,Medeiros Neto-BA,Barra do Rocha-BA,Vitória da Conquista-BA,Belmonte-BA,Santa Cruz Cabrália-BA,Utinga-BA,Adustina-BA,Cachoeira-BA,Gandu-BA,Itapetinga-BA,Simões Filho-BA,Uruçuca-BA,Ibirataia-BA,Itarantim-BA,Ouriçangas-BA,Palmeiras-BA,Piripá-BA,Santa Maria da Vitória-BA,Barra do Choça-BA,Campo Formoso-BA,Ibotirama-BA,São Francisco do Conde-BA,Araci-BA,Aurelino Leal-BA,Conceição do Coité-BA,Euclides da Cunha-BA,Gongogi-BA,Itagi-BA,Itatim-BA,Serrinha-BA,Itapebi-BA,Ituberá-BA,Santa Luzia-BA,Ubatã-BA,Camacan-BA,Cansanção-BA,Jaguaquara-BA,Rio do Pires-BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,Linhares-ES,Vila Velha-ES,Vitória-ES,Cachoeiro de Itapemirim-ES,Cariacica-ES,Santa Teresa-ES,Serra-ES,Castelo-ES,São Roque do Canaã-ES,Guarapari-ES,Itapemirim-ES,São Mateus-ES,Alto Rio Novo-ES,Viana-ES,Afonso Cláudio-ES,Aracruz-ES,Fundão-ES,Sooretama-ES,Colatina-ES,Ibiraçu-ES,Boa Esperança-ES,Nova Venécia-ES,Venda Nova do Imigrante-ES,São Gabriel da Palha-ES,São José do Calçado-ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF,Brasília-DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Maceió-AL,Porto Real do Colégio-AL,Marechal Deodoro-AL,Palmeira dos Índios-AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG,Divinópolis-MG,Ipatinga-MG,Juiz de Fora-MG,Patrocínio-MG,Belo Horizonte-MG,Coronel Fabriciano-MG,Nova Lima-MG,Sete Lagoas-MG,Uberlândia-MG,Mariana-MG,Poços de Caldas-MG,Uberaba-MG,Betim-MG,Bom Despacho-MG,Campos Altos-MG,Contagem-MG,Lagoa da Prata-MG,Timóteo-MG,Boa Esperança-MG,Governador Valadares-MG,São João del Rei-MG,Campo Belo-MG,Carmo do Cajuru-MG,Guimarânia-MG,Sabará-MG,Extrema-MG,Muriaé-MG,Santa Luzia-MG,Serra do Salitre-MG,Manhuaçu-MG,Unaí-MG,Alfenas-MG,Araguari-MG,Capitólio-MG,Lavras-MG,Pouso Alegre-MG,Arcos-MG,Barbacena-MG,Ribeirão das Neves-MG,Santana do Paraíso-MG,Santo Antônio do Monte-MG,Toledo-MG,Esmeraldas-MG,Itabira-MG,Carmo da Cachoeira-MG,Nanuque-MG,Patos de Minas-MG,Varginha-MG,Janaúba-MG,Paracatu-MG,Paraisópolis-MG,Sarzedo-MG,Cambuí-MG,Centralina-MG,Divinésia-MG,Formiga-MG,Frutal-MG,Jeceaba-MG,Machado-MG,Matozinhos-MG,Montes Claros-MG,Ouro Fino-MG,Senador Amaral-MG,Ubá-MG,Botelhos-MG,Itapeva-MG,Piumhi-MG,Alpercata-MG,Carangola-MG,Ipaba-MG,São João Nepomuceno-MG,Vazante-MG,Borda da Mata-MG,Itanhandu-MG,João Monlevade-MG,Mário Campos-MG,Pará de Minas-MG,Santa Maria de Itabira-MG,Itajubá-MG,Itapecerica-MG,Pirapora-MG,São Lourenço-MG,Cambuquira-MG,Conceição das Alagoas-MG,Ferros-MG,Ibirité-MG,Ipuiúna-MG,Ituiutaba-MG,Jaboticatubas-MG,Monte Carmelo-MG,São Brás do Suaçuí-MG,São Gotardo-MG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS,Campo Bom-RS,Porto Alegre-RS,Caxias do Sul-RS,Sapiranga-RS,Alvorada-RS,Bagé-RS,Erechim-RS,Farroupilha-RS,Taquara-RS,Ivoti-RS,Sant'Ana do Livramento-RS,Bento Gonçalves-RS,Canoas-RS,Carlos Barbosa-RS,Charqueadas-RS,Dois Irmãos-RS,Eldorado do Sul-RS,Estrela-RS,Lajeado-RS,Serafina Corrêa-RS,São Leopoldo-RS,Torres-RS,Estância Velha-RS,Santa Maria-RS,Santo Antônio da Patrulha-RS,Capão da Canoa-RS,Cruzeiro do Sul-RS,Osório-RS,Rio Grande-RS,Santiago-RS,Viamão-RS,Anta Gorda-RS,Camaquã-RS,Garibaldi-RS,Paraí-RS,Cerro Grande do Sul-RS,Dom Pedrito-RS,Gravataí-RS,Pelotas-RS,Marau-RS,Nova Palma-RS,Passo Fundo-RS,Piratini-RS,Rolante-RS,Cachoeira do Sul-RS,Santa Rosa-RS,Canguçu-RS,Novo Hamburgo-RS,Taquari-RS,Cachoeirinha-RS,Capão do Leão-RS,São Domingos do Sul-RS,Alegrete-RS,São Sebastião do Caí-RS,Guaíba-RS,Sapucaia do Sul-RS,São Gabriel-RS,Tramandaí-RS,Uruguaiana-RS,Vila Maria-RS,Arroio do Sal-RS,Esteio-RS,Sananduva-RS,Santa Cruz do Sul-RS,São Jorge-RS,Minas do Leão-RS,São Lourenço do Sul-RS,Tabaí-RS,Encantado-RS,Harmonia-RS,Pareci Novo-RS,Tupandi-RS,Arroio dos Ratos-RS,Glorinha-RS,Vacaria-RS,Bom Retiro do Sul-RS,Cidreira-RS,Montenegro-RS,Sarandi-RS,Encruzilhada do Sul-RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO,Goiânia-GO,Rio Verde-GO,Anápolis-GO,Aparecida de Goiânia-GO,Jataí-GO,Catalão-GO,Valparaíso de Goiás-GO,Luziânia-GO,Silvânia-GO,Hidrolândia-GO,Goianésia-GO,Águas Lindas de Goiás-GO,Itumbiara-GO,Paranaiguara-GO,Caldas Novas-GO,Campestre de Goiás-GO,Cidade Ocidental-GO,Trindade-GO,Bom Jesus de Goiás-GO,Nova Veneza-GO,Senador Canedo-GO,São Luís de Montes Belos-GO,Nova Glória-GO,Vianópolis-GO,Bela Vista de Goiás-GO,Goiandira-GO,Goiatuba-GO,Guapó-GO,Montividiu-GO,Pires do Rio-GO,Anhanguera-GO,Professor Jamil-GO,Aloândia-GO,Rialma-GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,Recife-PE,Belo Jardim-PE,Jaboatão dos Guararapes-PE,Olinda-PE,Caruaru-PE,Petrolina-PE,Camaragibe-PE,Fernando de Noronha-PE,Goiana-PE,São Lourenço da Mata-PE,Palmares-PE,Ipubi-PE,Aliança-PE,Cabo de Santo Agostinho-PE,Paulista-PE,Cachoeirinha-PE,Lagoa do Carro-PE,Paudalho-PE,Bom Jardim-PE,Catende-PE,Igarassu-PE,Macaparana-PE,Moreno-PE,Salgueiro-PE,Timbaúba-PE,Vitória de Santo Antão-PE,Arcoverde-PE,Passira-PE,Abreu e Lima-PE,Capoeiras-PE,Carpina-PE,Frei Miguelinho-PE,Garanhuns-PE,João Alfredo-PE,Limoeiro-PE,Pombos-PE,Bom Conselho-PE,Ipojuca-PE,Serra Talhada-PE,São Caitano-PE,Gameleira-PE,Quipapá-PE,Santa Cruz do Capibaribe-PE,Sertânia-PE,São Bento do Una-PE,Toritama-PE,Tracunhaém-PE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,Cianorte-PR,Curitiba-PR,Campo Largo-PR,Londrina-PR,Pinhais-PR,Foz do Iguaçu-PR,Maringá-PR,Guaíra-PR,Pato Branco-PR,Ponta Grossa-PR,Umuarama-PR,Colombo-PR,Cascavel-PR,Paranavaí-PR,Telêmaco Borba-PR,Campo Mourão-PR,Faxinal-PR,Guarapuava-PR,Iretama-PR,Rio Negro-PR,União da Vitória-PR,Mariópolis-PR,Quatiguá-PR,Castro-PR,Contenda-PR,Marechal Cândido Rondon-PR,Medianeira-PR,Peabiru-PR,São José dos Pinhais-PR,Terra Rica-PR,Almirante Tamandaré-PR,Matinhos-PR,Rio Branco do Sul-PR,Francisco Beltrão-PR,Lapa-PR,Quatro Barras-PR,Verê-PR,Arapongas-PR,Araucária-PR,Assis Chateaubriand-PR,Cambé-PR,Fazenda Rio Grande-PR,Goioerê-PR,Ibaiti-PR,Cornélio Procópio-PR,Leópolis-PR,Mandirituba-PR,Palmeira-PR,Paranaguá-PR,São Manoel do Paraná-PR,Terra Boa-PR,Araruna-PR,Campina Grande do Sul-PR,Campo Magro-PR,Piraquara-PR,Sarandi-PR,Chopinzinho-PR,Guaraniaçu-PR,Ibema-PR,Palmas-PR,Pinhão-PR,Rolândia-PR,Balsa Nova-PR,Santa Fé-PR,Sertaneja-PR,Bandeirantes-PR,Primeiro de Maio-PR,Quitandinha-PR,Vitorino-PR,Ivaiporã-PR,São João do Ivaí-PR,Toledo-PR,Campina da Lagoa-PR,Manoel Ribas-PR,Marumbi-PR,Paiçandu-PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN,Natal-RN,Parnamirim-RN,Mossoró-RN,Açu-RN,Caicó-RN,Macaíba-RN,Monte Alegre-RN,Passa e Fica-RN,São Gonçalo do Amarante-RN,São José de Mipibu-RN,Tibau-RN,Apodi-RN,Carnaubais-RN,Luís Gomes-RN,Ceará-Mirim-RN,Baía Formosa-RN,Caraúbas-RN,Extremoz-RN,Santo Antônio-RN,Areia Branca-RN,São Pedro-RN,Taipu-RN,Tenente Ananias-RN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,Florianópolis-SC,Joinville-SC,Rancho Queimado-SC,Braço do Norte-SC,Balneário Camboriú-SC,Tubarão-SC,São José-SC,Chapecó-SC,Criciúma-SC,Imbituba-SC,Jaraguá do Sul-SC,Navegantes-SC,Pomerode-SC,Gravatal-SC,Itajaí-SC,Jaguaruna-SC,Blumenau-SC,Lages-SC,Gaspar-SC,Içara-SC,Porto Belo-SC,Laguna-SC,Tijucas-SC,Balneário Arroio do Silva-SC,Camboriú-SC,Canelinha-SC,São Ludgero-SC,São Pedro de Alcântara-SC,Itapema-SC,Siderópolis-SC,Timbé do Sul-SC,Antônio Carlos-SC,São Lourenço do Oeste-SC,Brusque-SC,Papanduva-SC,São Francisco do Sul-SC,Urussanga-SC,Indaial-SC,Pescaria Brava-SC,Biguaçu-SC,Joaçaba-SC,Paulo Lopes-SC,Araranguá-SC,Governador Celso Ramos-SC,Irati-SC,Mafra-SC,Morro da Fumaça-SC,Palhoça-SC,Balneário Gaivota-SC,Itapiranga-SC,Pedras Grandes-SC,Sombrio-SC,São Domingos-SC,Botuverá-SC,Santo Amaro da Imperatriz-SC,Timbó-SC,Videira-SC,Águas Mornas-SC,Anita Garibaldi-SC,Sangão-SC,Santa Rosa de Lima-SC,Forquilhinha-SC,Guabiruba-SC,São Bento do Sul-SC,Tangará-SC,Aurora-SC,Balneário Piçarras-SC,Barra Velha-SC,Caçador-SC,Cocal do Sul-SC,Garopaba-SC,Guaramirim-SC,Massaranduba-SC,Orleans-SC,Rio Negrinho-SC,Rio Rufino-SC,Schroeder-SC,Vidal Ramos-SC,Nova Trento-SC,Santa Cecília-SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,Manaus-AM,Parintins-AM,Boca do Acre-AM,Santo Antônio do Içá-AM,Manacapuru-AM,Anori-AM,Itacoatiara-AM,Novo Airão-AM,Careiro da Várzea-AM,Tonantins-AM,Iranduba-AM,Jutaí-AM,São Gabriel da Cachoeira-AM,São Paulo de Olivença-AM,Manicoré-AM,Presidente Figueiredo-AM,Tabatinga-AM,Maués-AM,Tefé-AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Campo Grande-MS,Sidrolândia-MS,Ponta Porã-MS,Batayporã-MS,Rio Verde de Mato Grosso-MS,Dourados-MS,Alcinópolis-MS,Nova Andradina-MS,Três Lagoas-MS,Chapadão do Sul-MS,Corumbá-MS,Sonora-MS,Paranaíba-MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE,Aracaju-SE,Propriá-SE,Nossa Senhora da Glória-SE,Capela-SE,Itabaiana-SE,Simão Dias-SE,Pacatuba-SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE,Aquiraz-CE,Fortaleza-CE,Sobral-CE,Fortim-CE,Juazeiro do Norte-CE,Mauriti-CE,Maranguape-CE,Caucaia-CE,Quixadá-CE,Itaitinga-CE,Maracanaú-CE,Beberibe-CE,Santa Quitéria-CE,Eusébio-CE,Tianguá-CE,Icó-CE,Itapajé-CE,Itapipoca-CE,Jaguaribe-CE,Canindé-CE,Farias Brito-CE,Ipaporanga-CE,Horizonte-CE,Aracati-CE,Cariús-CE,Iguatu-CE,Ipueiras-CE,Limoeiro do Norte-CE,Novo Oriente-CE,Pacatuba-CE,Pedra Branca-CE,Pindoretama-CE,Quixeramobim-CE,Amontada-CE,Catarina-CE,Crateús-CE,Croatá-CE,Guaraciaba do Norte-CE,Lavras da Mangabeira-CE,Santana do Acaraú-CE,Senador Pompeu-CE,Cascavel-CE,Icapuí-CE,Itaiçaba-CE,Mombaça-CE,Várzea Alegre-CE,Crato-CE,Independência-CE,Quixeré-CE,Russas-CE,Senador Sá-CE,São Luís do Curu-CE,Tabuleiro do Norte-CE,Barroquinha-CE,Forquilha-CE,Itarema-CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,Rio Branco-AC,Acrelândia-AC,Porto Acre-AC,Plácido de Castro-AC,Bujari-AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,Belém-PA,Marabá-PA,Ananindeua-PA,Castanhal-PA,Itaituba-PA,Parauapebas-PA,Abaetetuba-PA,Marituba-PA,Tucuruí-PA,Barcarena-PA,Santarém-PA,Altamira-PA,Benevides-PA,Goianésia do Pará-PA,Novo Progresso-PA,Oeiras do Pará-PA,São Geraldo do Araguaia-PA,Cametá-PA,Santo Antônio do Tauá-PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB,João Pessoa-PB,Igaracy-PB,Campina Grande-PB,Sousa-PB,Patos-PB,Cabedelo-PB,Junco do Seridó-PB,Serra Branca-PB,Santa Rita-PB,Bayeux-PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO,Palmas-TO,Araguaína-TO,Dianópolis-TO,Gurupi-TO,Cariri do Tocantins-TO,Paraíso do Tocantins-TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI,Teresina-PI,São José do Divino-PI,Parnaíba-PI,Campo Maior-PI,Piracuruca-PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,Macapá-AP,Oiapoque-AP,Santana-AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,São Luís-MA,Açailândia-MA,Imperatriz-MA,Paço do Lumiar-MA,São José de Ribamar-MA,Timon-MA,Cajapió-MA,Santa Inês-MA,São Benedito do Rio Preto-MA,Colinas-MA,Icatu-MA,Raposa-MA,Urbano Santos-MA,Cachoeira Grande-MA,Cantanhede-MA,Chapadinha-MA,Viana-MA,Vitória do Mearim-MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,Cuiabá-MT,Várzea Grande-MT,Nova Monte Verde-MT,Rondonópolis-MT,Tangará da Serra-MT,Lucas do Rio Verde-MT,Sinop-MT,Alta Floresta-MT,Campo Novo do Parecis-MT,Nova Mutum-MT,Aripuanã-MT,Canarana-MT,Cáceres-MT,São José dos Quatro Marcos-MT,União do Sul-MT,Chapada dos Guimarães-MT,Primavera do Leste-MT,Lambari D'Oeste-MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO,Ji-Paraná-RO,Porto Velho-RO,Jaru-RO,Rolim de Moura-RO,Vilhena-RO,Ouro Preto do Oeste-RO,Ariquemes-RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR,Boa Vista-RR,Bonfim-RR,Cantá-RR,Alto Alegre-RR,Pacaraima-RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
