,City,Population,Area,Density
0,Recife,1645727,218.84,7520.12630058992
1,Jaboatão dos Guararapes,702298,258.72,2714.46792721201
2,Olinda,392482,41.30,9503.19612590799
3,Caruaru,361118,920.61,392.259480127307
4,Petrolina,349145,4561.87,76.5354996963964
5,Paulista,331774,96.85,3425.78939760031
6,Cabo de Santo Agostinho,207048,445.34,464.918051928514
7,Camaragibe,157828,51.26,3079.15016485553
8,Garanhuns,139788,458.55,304.846560477329
9,Vitória de Santo Antão,138757,335.94,413.039789724982
10,Igarassu,117019,305.78,382.6876663767
11,São Lourenço da Mata,113230,262.11,432.000793572066
12,Santa Cruz do Capibaribe,107937,335.31,321.903080442219
13,Abreu e Lima,99990,126.19,792.357737750905
14,Ipojuca,96204,521.80,184.369136893183
15,Serra Talhada,86350,2980.01,28.9764420016463
16,Araripina,84418,2037.39,41.4344451986785
17,Gravatá,84074,503.95,166.831366852798
18,Carpina,83641,147.67,566.424000270883
19,Goiana,79758,445.89,178.875317906371
20,Belo Jardim,76439,647.70,118.016603442659
21,Arcoverde,74338,323.37,229.885270742493
22,Ouricuri,69459,2381.57,29.1652145433475
23,Escada,68875,342.20,201.270598274114
24,Pesqueira,67395,980.88,68.7090607875621
25,Surubim,65089,252.86,257.416305787902
26,Palmares,63250,339.29,186.418148433056
27,Moreno,62784,196.07,320.208902852013
28,Salgueiro,60930,1678.56,36.2989056711008
29,Bezerros,60798,492.63,123.414638107147
30,São Bento do Una,59504,719.15,82.7423562326531
31,Buíque,58378,1320.87,44.1966279800435
32,Paudalho,56506,274.78,205.643869915859
33,Limoeiro,56250,273.74,205.48770909516
34,Timbaúba,53022,287.68,184.307032393294
35,Brejo da Madre de Deus,50752,762.35,66.5735329804747
36,Bom Conselho,48554,792.19,61.2912387889193
37,Ribeirão,47415,289.73,163.650671480294
38,Sirinhaém,45865,374.32,122.528524982568
39,Toritama,45214,25.70,1759.02583255524
40,Águas Belas,43443,885.99,49.0333954861691
41,Catende,42892,207.24,206.963772171933
42,Barreiros,42659,233.43,182.746226968766
43,Santa Maria da Boa Vista,41931,3000.77,13.9733948641251
44,Lajedo,40288,189.10,213.055802343783
45,Bom Jardim,39184,218.43,179.386814263413
46,Aliança,38386,272.77,140.725071762968
47,Bodocó,38146,1621.78,23.5210114293889
48,Bonito,38134,390.11,97.7526678577929
49,Afogados da Ingazeira,37259,377.70,98.648119122257
50,São Caitano,37245,382.47,97.3814597414143
51,Custódia,37111,1404.13,26.4299454394083
52,Água Preta,36771,533.33,68.9457973644934
53,Itambé,36447,304.01,119.889081136557
54,Petrolândia,36548,1056.60,34.5903586520852
55,Sertânia,35907,2421.53,14.8282468045989
56,Cabrobó,34221,1658.62,20.6322620787452
57,São José do Belmonte,33959,1474.09,23.0373261804264
58,São José do Egito,33951,794.14,42.7516923882822
59,João Alfredo,33822,139.87,241.810252377207
60,Floresta,32873,3644.17,9.02071226663747
61,Vicência,32643,228.02,143.160378392839
62,Nazaré da Mata,32471,130.57,248.682719112827
63,Exu,31825,1336.79,23.8070658922731
64,Gameleira,31052,255.96,121.315356636363
65,Ipubi,30854,693.92,44.4632746378911
66,Glória do Goitá,30604,231.83,132.009386107181
67,Trindade,30521,295.77,103.193413689923
68,Ibimirim,29235,1906.44,15.3348891151399
69,Passira,28933,326.76,88.5459225051032
70,Taquaritinga do Norte,28775,475.18,60.555617519987
71,Caetés,28739,294.95,97.4381751235819
72,Tabira,28534,388.01,73.5402894292599
73,Tupanatinga,27304,950.47,28.7267195104758
74,Pombos,27091,239.88,112.937517717487
75,Itapissuma,26651,74.24,359.008553916616
76,Panelas,26474,380.43,69.5900406910112
77,Itaíba,26349,1061.69,24.8178853794031
78,Sanharó,26462,268.69,98.4867093931206
79,Condado,26421,89.65,294.729209660327
80,Ilha de Itamaracá,26258,66.77,393.260446308222
81,Quipapá,26037,230.62,112.901477341219
82,Tacaratu,25765,1264.53,20.3751591500399
83,Lagoa Grande,25601,1850.07,13.837854783873
84,Macaparana,25376,108.05,234.856407740932
85,Agrestina,24885,200.58,124.064592359197
86,Canhotinho,24804,423.17,58.6150181488203
87,Cupira,24107,95.16,253.344543113867
88,Orobó,23884,138.66,172.246181361873
89,Rio Formoso,23535,227.46,103.469651540065
90,Tamandaré,23388,213.75,109.417543859649
91,Inajá,21930,1182.159,18.5508040796543
92,Altinho,22972,452.52,50.7642705453645
93,Amaraji,22829,234.96,97.1628730485708
94,São João,22793,258.33,88.2307400497031
95,Flores,22624,995.56,22.7249442021459
96,Pedra,22617,921.48,24.544291393057
97,Feira Nova,22131,107.73,205.437870152052
98,Parnamirim,22010,2609.55,8.43441086349054
99,Chã Grande,21698,84.85,255.727889873656
100,Manari,21434,344.73,62.1770976865618
101,Lagoa de Itaenga,21429,57.28,374.096574840264
102,São Joaquim do Monte,21356,232.07,92.0239582884475
103,São José da Coroa Grande,21298,69.18,307.845744680851
104,Vertentes,20731,196.33,105.59531389278
105,Belém do São Francisco,20729,1830.80,11.3223912864179
106,Riacho das Almas,20546,314.00,65.4324958678739
107,Araçoiaba,20524,96.38,212.946535105467
108,Cachoeirinha,20380,179.26,113.688344434403
109,Capoeiras,20048,336.33,59.6083002060482
110,Afrânio,19635,1490.59,13.1726009899409
111,Carnaíba,19551,427.80,45.7010486159485
112,Iati,19197,635.14,30.2249750841157
113,Serrita,19165,1535.19,12.4837967938822
114,Dormentes,18908,1539.05,12.2854848309219
115,Camocim de São Félix,18765,71.99,260.679308189206
116,Venturosa,18482,335.48,55.0908841607001
117,Correntes,18207,317.79,57.2920108372431
118,Lagoa do Carro,18071,69.67,259.394826744754
119,São Vicente Ferrer,18018,113.99,158.073430714568
120,Jataúba,17150,714.60,23.9994066618994
121,Itaquitinga,16955,162.74,104.185229109187
122,Lagoa dos Gatos,16262,224.95,72.2925844754542
123,Machados,16088,60.04,267.972549803451
124,Joaquim Nabuco,16023,121.90,131.442728115438
125,São Benedito do Sul,15895,160.48,99.0484617733382
126,Saloá,15843,251.55,62.9817649841582
127,Frei Miguelinho,15457,212.71,72.6680363128623
128,Santa Cruz,15398,1245.98,12.3581140352637
129,Mirandiba,15390,821.68,18.7300103690506
130,Jurema,15378,148.25,103.727386782144
131,Triunfo,15254,191.52,79.6478659969298
132,Primavera,14966,113.11,132.311337435462
133,Orocó,14991,554.76,27.0225449249133
134,Jupi,14836,104.99,141.303312570242
135,Jatobá,14796,277.86,53.2494547653152
136,Xexéu,14725,110.82,132.879122862428
137,Alagoinha,14636,216.45,67.6177628296343
138,Santa Filomena,14477,1005.34,14.4000891239888
139,Barra de Guabiraba,14385,120.58,119.295423069587
140,Casinhas,14341,115.87,123.770152242207
141,Santa Maria do Cambucá,14137,92.15,153.416243434475
142,Tracunhaém,13769,135.50,101.619235992206
143,Itapetim,13616,404.85,33.6322094602939
144,Chã de Alegria,13518,48.55,278.44607398863
145,Buenos Aires,13155,93.19,141.167759451426
146,Lagoa do Ouro,13145,198.76,66.1343717612018
147,Carnaubeira da Penha,12932,1004.67,12.8719267180071
148,Tacaimbó,12874,227.60,56.563899104134
149,Betânia,12719,1244.07,10.2236683669942
150,Santa Cruz da Baixa Verde,12592,114.93,109.560435735913
151,Cortês,12578,101.32,124.14623554029
152,Iguaracy,12228,838.13,14.5895873203744
153,Ferreiros,12123,92.52,131.036793635695
154,Belém de Maria,12073,75.14,160.669133107982
155,Santa Terezinha,11815,200.32,58.9806309904153
156,Cedro,11807,148.75,79.376924421497
157,Jaqueira,11656,87.21,133.657462618108
158,Paranatama,11523,185.37,62.1618268229658
159,Maraial,11345,199.87,56.7633152377855
160,Jucati,11424,120.60,94.7232264269842
161,Poção,11302,204.33,55.3127554091685
162,Moreilândia,11270,404.29,27.8762364359972
163,Calçado,11053,121.95,90.6392226003526
164,Angelim,11150,118.04,94.4619060125215
165,Salgadinho,10919,87.22,125.193482921907
166,Cumaru,10906,292.23,37.3196638287388
167,Terra Nova,10096,318.70,31.6786946972074
168,Sairé,9932,190.46,52.1488015541729
169,Verdejante,9534,476.04,20.0277708339023
170,Brejão,8993,159.79,56.2815265417496
171,Camutanga,8551,39.12,218.606196952654
172,Tuparetama,8202,178.57,45.9315674525396
173,Ibirajuba,7762,189.60,40.9396822717779
174,Palmeirina,7693,168.80,45.5757245432356
175,Vertente do Lério,7618,73.63,103.461857098233
176,Brejinho,7487,106.28,70.4486431555572
177,Granito,7486,521.69,14.3495179129368
178,Terezinha,7169,151.45,47.335754374381
179,Quixaba,6813,210.71,32.3343062575639
180,Solidão,6007,138.40,43.4038064133875
181,Calumbi,5750,179.31,32.0666540258987
182,Itacuruba,4918,430.04,11.4361986615136
183,Ingazeira,4548,243.67,18.6646639498664
184,Fernando de Noronha,3061,18.61,164.490300392283
